No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J080418.23+305157.1</a>",121.075944,30.865888,G,43610.808865,0.145470,SLS,23,,73,9,6,10,,,,1,1
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J080218.65+304622.8</a>",120.577695,30.772995,G,22973.962457,0.076633,SLS,31,,79,17,11,10,,,,1,1
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J160636.72+342754.5</a>",241.652986,34.465158,G,16384.138397,0.054652,SLS,19,,64,8,7,10,,,,1,1
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J073509.50+403624.3</a>",113.789569,40.606776,G,30842.417239,0.102879,SLS,22,,68,9,5,10,,,,1,1
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J074953.38+451454.6</a>",117.472403,45.248489,G,9446.160559,0.031509,SUN,42,,68,19,17,10,,1,1,1,1
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J153315.32+575001.9</a>",233.313737,57.833877,G,20141.008870,0.067183,SLS,21,,68,10,8,10,,,,1,
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J143132.85+435807.1</a>",217.886831,43.968677,G,28772.126671,0.095973,SLS,24,,69,9,7,10,,,,1,1
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J160436.21+500958.2</a>",241.150880,50.166160,G,43886.617927,0.146390,SLS,24,,86,12,9,12,,1,,1,1
56,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J08084123+4813522</a>",122.171759,48.231074,G,37037.887704,0.123545,SLS,21,,52,8,8,10,,,1,1,1
57,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J153217.19+453225.4</a>",233.071775,45.540408,G,21337.425408,0.071174,SLS,16,,68,8,5,10,,,,1,1
