Num   theta     phi         ul          ul_err     nsamples
313   1.403    1.865   1.110515e-14  2.106169e-16   99900  
314   1.403    2.062   1.055146e-14  3.518436e-16   100000 
315   1.403    2.258   9.822788e-15  3.819084e-16   100000 
316   1.403    2.454   8.506322e-15  3.476025e-16   100000 
317   1.403    2.651   6.737079e-15  2.256906e-16   100000 
318   1.403    2.847   5.090940e-15  1.790282e-16   100000 
319   1.403    3.043   4.252364e-15  1.335815e-16   100000 
320   1.403    3.240   3.656746e-15  1.128578e-16   100000 
321   1.403    3.436   2.888373e-15  1.025704e-16   100000 
322   1.403    3.632   2.856789e-15  9.327308e-17   100000 
323   1.403    3.829   2.487021e-15  1.072380e-16   100000 
324   1.403    4.025   2.375231e-15  7.871225e-17   100000 
325   1.403    4.222   2.185878e-15  8.174675e-17   100000 
326   1.403    4.418   2.169991e-15  9.557079e-17   99900  
327   1.403    4.614   1.986124e-15  6.460382e-17   100000 
328   1.403    4.811   2.110620e-15  1.081262e-16   100000 
329   1.403    5.007   2.288604e-15  7.361560e-17   100000 
330   1.403    5.203   2.547115e-15  8.693396e-17   100000 
331   1.403    5.400   2.433273e-15  1.054492e-16   100000 
332   1.403    5.596   2.390975e-15  7.998668e-17   100000 
333   1.403    5.792   2.584543e-15  9.033452e-17   100000 
334   1.403    5.989   3.023467e-15  9.705409e-17   100000 
335   1.403    6.185   3.590082e-15  1.694120e-16   99900  
336   1.487    0.000   3.779276e-15  1.228610e-16   100000 
337   1.487    0.196   4.132045e-15  1.122542e-16   100000 
338   1.487    0.393   5.136802e-15  1.830445e-16   100000 
339   1.487    0.589   6.630670e-15  2.751909e-16   99900  
340   1.487    0.785   8.017292e-15  4.028647e-16   100000 
341   1.487    0.982   9.289401e-15  3.907069e-16   100000 
342   1.487    1.178   1.182174e-14  2.679356e-16   100000 
343   1.487    1.374   1.253895e-14  3.444677e-16   100000 
344   1.487    1.571   1.335078e-14  3.956975e-16   100000 
345   1.487    1.767   1.188249e-14  3.107505e-16   100000 
346   1.487    1.963   1.141577e-14  3.070519e-16   100000 
347   1.487    2.160   9.997624e-15  2.925417e-16   100000 
348   1.487    2.356   8.903823e-15  2.798063e-16   100000 
349   1.487    2.553   7.691611e-15  2.675876e-16   100000 
350   1.487    2.749   5.541241e-15  1.584114e-16   100000 
